SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits
48,8,5,64,4.328125
28,4,6,95,3.694736842
2,17,7,90,4.055555556
42,27,8,104,4.865384615
31,25,9,124,4.717741935
35,17,10,111,5.45045045
4,27,11,126,5.46031746
2,5,12,91,6.10989011
5,12,13,84,4.976190476
4,26,14,108,5.074074074
42,20,15,109,4.834862385
6,4,16,87,4.528735632
34,7,17,90,4.855555556
49,1,18,88,5.761363636
14,14,19,100,4.51
44,29,20,101,5.702970297
41,22,21,98,4.806122449
44,17,22,113,4.82300885
22,1,23,94,3.989361702
25,10,24,106,4.433962264
29,9,25,89,4.303370787
19,10,26,109,3.440366972
34,4,27,105,4.40952381
16,12,28,114,5.350877193
13,18,29,107,4.121495327
5,29,30,113,3.973451327
2,26,31,119,4.478991597
41,29,32,101,4.069306931
32,22,33,89,4.314606742
35,14,34,102,4.519607843
4,3,35,127,4.070866142
31,16,36,110,4.663636364
45,16,37,129,4.054263566
31,23,38,117,3.854700855
31,28,39,99,4.202020202
34,9,40,116,3.603448276
34,16,41,113,3.82300885
3,18,42,91,3.912087912
23,17,43,98,3.295918367
25,22,44,122,3.926229508
39,22,45,101,3.643564356
31,3,46,114,3.087719298
34,9,47,102,3.460784314
14,7,48,111,3.09009009
24,22,49,101,2.841584158
32,3,50,106,3.396226415
35,26,51,97,3.12371134
36,6,52,98,2.959183673
27,20,53,89,2.662921348
35,8,54,99,2.848484848
5,4,55,102,3.049019608
25,6,56,117,2.598290598
25,22,57,98,2.836734694
15,22,58,102,2.745098039
18,27,59,100,2.5
32,10,60,91,2.604395604
34,3,61,106,2.424528302
26,25,62,88,2.522727273
49,8,63,96,2.364583333
41,11,64,106,2.452830189
9,20,65,91,2.142857143
41,15,66,105,1.714285714
18,23,67,101,2.465346535
27,25,68,98,2.306122449
44,5,69,94,2.276595745
32,6,70,102,2.254901961
43,26,71,108,2.092592593
14,17,72,103,1.990291262
3,1,73,89,2.146067416
49,22,74,108,2.101851852
29,19,75,91,2.142857143
18,22,76,108,2.185185185
14,26,77,115,1.930434783
49,10,78,107,2.495327103
28,15,79,95,1.957894737
4,23,80,89,1.966292135
3,22,81,95,2.168421053
29,8,82,100,1.66
36,12,83,100,1.97
35,27,84,104,1.903846154
29,14,85,96,1.8125
47,25,86,108,1.703703704
32,13,87,103,1.650485437
38,29,88,97,1.896907216
29,20,89,94,1.691489362
50,26,90,88,1.522727273
50,18,91,103,1.86407767
30,8,92,97,1.628865979
15,28,93,98,1.632653061
3,4,94,113,1.530973451
49,6,95,96,1.635416667
12,22,96,104,1.557692308
21,20,97,123,1.585365854
32,27,98,109,1.678899083
44,17,99,118,1.56779661
12,20,100,114,1.622807018
20,12,101,99,1.484848485
25,13,102,113,1.424778761
48,10,103,102,1.549019608
1,1,104,106,1.613207547
35,9,105,101,1.514851485
41,5,106,95,1.505263158
1,11,107,102,1.578431373
18,2,108,105,1.352380952
22,24,109,109,1.706422018
48,25,110,105,1.428571429
14,16,111,96,1.65625
23,13,112,90,1.611111111
7,21,113,99,1.363636364
46,11,114,110,1.345454545
33,23,115,96,1.479166667
21,25,116,105,1.552380952
20,25,117,93,1.397849462
30,1,118,87,1.344827586
32,22,119,91,1.197802198
25,22,120,55,1.581818182
