WAVE_ID,TEST_ID,PREDICTION,VARIANCE,HITS,AVERAGE,TARGET,FITNESS
2,109,8.00132006083514,0.0499961824643234,2,0.0,8.0,0.998681679455072
3,109,8.00132006083514,0.0499961824643234,17,0.0,8.0,0.998681679455072
4,109,7.99857524688086,0.0448826512669591,4,0.0,8.0,0.998577273926264
5,109,8.00129095410742,0.0568324633979307,5,0.0,8.0,0.998710710346351
6,109,8.00550730571498,0.0555872873748311,5,0.0,8.0,0.99452285856229
7,109,7.11837673894405,0.0486640823106965,6,9.0,8.0,0.992786833039381
8,109,6.67507800641793,0.0558035796916357,9,9.6,8.0,0.99165866439363
9,109,8.65021981519593,0.0475538966627797,4,7.4,8.0,0.998430912726889
10,109,11.0319569490427,0.0545963245229237,10,5.8,8.0,0.997480357739535
11,109,11.0366175878731,0.0603944092768431,12,5.8,8.0,0.997869915093541
12,109,9.41161364637686,0.0557774353563959,26,6.8,8.0,0.999848570733343
13,109,7.80618045875972,0.0621090241916079,13,8.2,8.0,0.998699469696194
14,109,5.24964371486541,0.052100514557536,3,12.2,8.0,0.996271821090613
15,109,4.90865085699106,0.0615893881762822,13,13.0,8.0,0.985778907936878
16,109,4.99799048048866,0.0555477423325374,2,12.8,8.0,0.997994510461861
17,109,4.78762977081621,0.0587250171210691,7,13.4,8.0,0.988620445930815
18,109,5.62050253722535,0.056275135580358,1,11.4,8.0,0.993574151015075
19,109,8.42853045512745,0.059566582449516,3,7.6,8.0,0.992577975988494
20,109,12.3018300088944,0.0544384983434209,12,5.2,8.0,0.994171650130628
21,109,12.3066078216931,0.0560167138652896,6,5.2,8.0,0.998916469264791
22,109,12.8088617915003,0.0615969792881337,3,5.0,8.0,0.991216237769712
23,109,11.0367667009397,0.0528128412645529,3,5.8,8.0,0.99772145862777
24,109,12.7985868363617,0.0512356321839081,12,5.0,8.0,0.998588640334109
25,109,11.8520602859293,0.0577534843689266,7,5.4,8.0,0.999791220980358
26,109,8.8908285592,0.0546471555888722,9,7.2,8.0,0.998064506966963
27,109,10.3257501552186,0.0577175995335666,4,6.2,8.0,0.996840198377686
28,109,9.40780889848153,0.0550032391211801,6,6.8,8.0,0.996059389753304
29,109,9.13900601661013,0.0524040873081977,1,7.0,8.0,0.996163242374829
30,109,8.4157541978035,0.0531568475021748,8,7.6,8.0,0.994729193499228
31,109,11.8299525663351,0.0576845142243693,12,5.4,8.0,0.97857038751954
32,109,11.4218720446838,0.0564995627186407,3,5.6,8.0,0.993344930540607
33,109,10.3191493434092,0.0615087248042645,3,6.2,8.0,0.996580737243252
34,109,10.6644651309246,0.0583009768264016,14,6.0,8.0,0.997802983954752
35,109,11.8360354282375,0.0534164052233143,20,5.4,8.0,0.984430217472344
36,109,7.9928454215323,0.0592263243378311,10,8.0,8.0,0.992896246021336
37,109,6.15320923745298,0.0560206470838655,4,10.4,8.0,0.999363379098875
38,109,6.40989788458836,0.0513641096118607,20,10.0,8.0,0.990199217094538
39,109,6.27216450036213,0.05879242091917,6,10.2,8.0,0.997660081609355
40,109,4.72160877229865,0.0553834541062802,14,13.6,8.0,0.984517261420663
41,109,5.33291542532041,0.0532396070483277,8,12.0,8.0,0.999582107757584
42,109,5.92700950732238,0.061954300627464,11,10.8,8.0,0.998917397641783
43,109,6.14681155034646,0.0561943102522813,3,10.4,8.0,0.993014428093921
44,109,5.42199579734615,0.058501628815222,14,11.8,8.0,0.99826985303639
45,109,7.62002773355278,0.0529917680048864,6,8.4,8.0,0.999020867892401
46,109,6.39405219902672,0.053881681844263,8,10.0,8.0,0.994087272013398
47,109,7.6177549184473,0.0624695175560368,5,8.4,8.0,0.998708945628696
48,109,7.61612273890782,0.0591377575101338,3,8.4,8.0,0.99708362727656
49,109,8.85460000705129,0.0522349473411442,13,7.2,8.0,0.966847472917989
50,109,8.88847843236819,0.064921833064949,7,7.2,8.0,0.999589288383741
51,109,9.13985133395678,0.0556494206600403,17,7.0,8.0,0.997002792721493
52,109,8.89239804565994,0.0605335295315305,9,7.2,8.0,0.996503535273788
53,109,7.10855725604014,0.0534181867399634,5,9.0,8.0,0.997452597677196
54,109,6.54033094342384,0.057685046365706,18,9.8,8.0,0.990375064759839
55,109,6.28622934615292,0.0581127954541248,8,10.2,8.0,0.988416315111807
56,109,5.71445432400059,0.0541969524497011,6,11.2,8.0,0.999831554904198
