WAVE_ID,TEST_ID,PREDICTION,VARIANCE,HITS,AVERAGE,TARGET,FITNESS
2,44,5.00055493185882,0.675673274473874,5,0.0,5.0,0.837559325189271
3,44,5.00055493185882,0.675673274473874,7,0.0,5.0,0.837559325189271
4,44,5.01597306627587,0.704806855831344,0,0.0,5.0,0.844542458254505
5,44,4.95748423982459,0.640511272141707,10,0.0,5.0,0.799864693257083
6,44,4.9820246360581,0.690844355599978,7,0.0,5.0,0.836593199949348
7,44,4.3080933860244,0.617521461491476,6,5.8,5.0,0.807637538751664
8,44,4.03447284402292,0.652992392692543,0,6.2,5.0,0.825391253744779
9,44,4.1142809736619,0.664578821700261,3,6.0,5.0,0.807400393461443
10,44,5.43722927926954,0.574067077572325,1,4.6,5.0,0.785813189303876
11,44,4.82638544270577,0.532248098173136,8,5.2,5.0,0.756948992555172
12,44,7.39946090991581,0.663878060969515,5,3.4,5.0,0.80971310752527
13,44,6.92505674222505,0.652363929146538,6,3.6,5.0,0.816672480842371
14,44,7.36789459782556,0.678782053417735,6,3.4,5.0,0.832024471203419
15,44,5.53802759385296,0.617570659114887,2,4.6,5.0,0.761993826182145
16,44,4.90100620073009,0.609462824143484,9,5.2,5.0,0.76205661594114
17,44,4.62679596045404,0.614043089566328,12,5.4,5.0,0.805608713741853
18,44,4.48303777493422,0.584508745627186,2,5.6,5.0,0.783050925992929
19,44,3.70181864277243,0.591641623632628,9,7.0,5.0,0.738145996552656
20,44,4.0823646392729,0.672358154256205,2,6.2,5.0,0.812321225412055
21,44,3.71529929201546,0.667389527458493,6,6.8,5.0,0.815006069270896
22,44,3.67042305707968,0.60016358487423,12,6.8,5.0,0.797076203315061
23,44,4.03494792208313,0.596765061913488,13,6.2,5.0,0.797041210167762
24,44,3.9911561347199,0.584602032317175,9,6.2,5.0,0.77256138852784
25,44,2.8972801354539,0.610519629074352,2,8.4,5.0,0.768690351728969
26,44,3.00568097566299,0.538440779610195,10,8.4,5.0,0.754897528710439
27,44,2.97994254153828,0.600472763618191,12,8.4,5.0,0.798367361815853
28,44,2.65284003819905,0.667484035759898,1,9.2,5.0,0.803423485448647
29,44,2.63975335355726,0.647215281248265,1,9.2,5.0,0.787585362347376
30,44,3.63294948575223,0.559197956577267,8,6.8,5.0,0.758745972818579
31,44,4.81043439350552,0.550205897051474,2,5.2,5.0,0.773735654843037
32,44,3.99415807982738,0.679601421511466,14,6.4,5.0,0.799398362805466
33,44,5.23972862972136,0.577414070742407,19,4.8,5.0,0.773487217337475
34,44,4.77296481074646,0.540529513021267,5,5.2,5.0,0.753483770538
35,44,2.7932534239361,0.574031539785663,7,8.8,5.0,0.764271814240091
36,44,2.61057742098582,0.553615858737298,8,9.6,5.0,0.773622970216308
37,44,2.66683011507557,0.55642356599478,1,9.4,5.0,0.774610092161309
38,44,2.36305633153663,0.65194447220834,20,10.6,5.0,0.823699729031049
39,44,3.09268020511701,0.587445388416903,1,8.0,5.0,0.778068729474759
40,44,3.00209840344512,0.522008662335499,1,8.2,5.0,0.738704300206416
41,44,3.37051270740506,0.565049031040036,7,7.4,5.0,0.778622372955676
42,44,3.91734162332545,0.549265700483092,5,6.2,5.0,0.723096950640612
43,44,4.22623484340966,0.556023321672497,4,6.0,5.0,0.749902012419743
44,44,3.64927511854947,0.523082125603865,6,6.8,5.0,0.748303333863732
45,44,6.93157854617842,0.550014437225832,12,3.6,5.0,0.768655983853086
46,44,5.50832011672784,0.614118718418568,13,4.6,5.0,0.772809272118267
47,44,3.7982400465154,0.652853684268977,1,6.8,5.0,0.772151225526699
48,44,3.09437169327596,0.559535121328225,2,8.0,5.0,0.764908514687321
49,44,3.43136983784308,0.563357099228164,6,7.2,5.0,0.762054065174682
50,44,3.68951001463429,0.59255872063968,11,6.8,5.0,0.78984356640462
51,44,3.68551519010323,0.60591937364651,12,6.8,5.0,0.798477921811178
52,44,3.80361321864235,0.587133766450108,3,6.6,5.0,0.785821536640572
53,44,3.94970123331151,0.616268754511633,8,6.4,5.0,0.787313454699307
54,44,3.73430109029567,0.562123938030984,9,6.8,5.0,0.753727485242289
55,44,3.13030191275589,0.626179687933811,4,8.0,5.0,0.810452868589934
56,44,2.8332460629291,0.64506624465545,11,8.6,5.0,0.788199240536215
57,44,3.47923886913136,0.552555055805431,14,7.2,5.0,0.772793649477595
58,44,3.56117512125079,0.57253029041035,7,7.0,5.0,0.781190453352881
59,44,2.69420768405632,0.52611105558332,5,9.2,5.0,0.751726368900073
60,44,2.68300727315851,0.525831195513354,0,9.0,5.0,0.719632322630588
61,44,2.93374528832942,0.462354600477539,0,8.2,5.0,0.679593637781138
62,44,3.33834349751101,0.508242989616303,15,7.4,5.0,0.734874600598499
63,44,4.81130484808843,0.431482147814981,1,5.2,5.0,0.713941305429153
64,44,4.61169484354028,0.417209173191182,6,5.4,5.0,0.699795188194172
65,44,6.0056349902088,0.45445532789161,4,4.2,5.0,0.701946945254344
66,44,5.64147726500056,0.506199900049975,10,4.4,5.0,0.733711634748641
67,44,4.74736836148415,0.589479815647732,9,5.2,5.0,0.76629390960068
68,44,3.43636158265102,0.616913765339552,3,7.2,5.0,0.79114729597776
69,44,4.23601755114119,0.660782386584486,4,6.0,5.0,0.797964566801569
70,44,3.91849721046595,0.61010872341607,3,6.4,5.0,0.799004846212677
