WAVE_ID,TEST_ID,PREDICTION,VARIANCE,HITS,AVERAGE,TARGET,FITNESS
2,41,4.99885974898547,0.671008939974457,5,0.0,5.0,0.966075836868421
3,41,4.99885974898547,0.671008939974457,17,0.0,5.0,0.966075836868421
4,41,5.02174010827882,0.698981620300961,5,0.0,5.0,0.950748382464411
5,41,4.99039002136717,0.688274751513132,13,0.0,5.0,0.960260819745396
6,41,5.02168176746521,0.670120051085568,9,0.0,5.0,0.947912525317057
7,41,2.19397280341347,0.614737853295574,1,11.4,5.0,0.960583354650689
8,41,2.29456508438026,0.603364984174579,3,12.2,5.0,0.783004732481169
9,41,2.7929470140926,0.507943028485757,0,9.0,5.0,0.937345991170651
10,41,4.01571382142609,0.489401632517075,7,6.2,5.0,0.93429267585844
11,41,4.74388567929421,0.461307013160087,8,5.2,5.0,0.892149116742035
12,41,6.23436038523246,0.545143317230274,4,4.0,5.0,0.940655426768866
13,41,6.58423496518011,0.51845466155811,3,3.8,5.0,0.94711165935792
14,41,5.67795133664968,0.558511633072353,9,4.4,5.0,0.952384407965167
15,41,5.68351451058767,0.564842578710645,3,4.4,5.0,0.954960147389437
16,41,4.05676746689328,0.657096118607363,3,6.2,5.0,0.944178856018107
17,41,4.63121123901866,0.61602443222833,9,5.4,5.0,0.960181242578106
18,41,5.678784176847,0.607252151701927,11,4.4,5.0,0.958002870330465
19,41,4.61922686942561,0.632686545616081,5,5.4,5.0,0.95400256307029
20,41,3.57110682481564,0.614662668665667,0,7.0,5.0,0.961176788065303
21,41,4.07905145973618,0.589728358043201,3,6.2,5.0,0.918741349188663
22,41,4.46581551530863,0.57234860347604,10,5.6,5.0,0.955860142443132
23,41,4.46496897488021,0.606408018213116,7,5.6,5.0,0.960026287140667
24,41,4.31204128263353,0.62184041312677,9,5.8,5.0,0.960659817536199
25,41,5.0072684259462,0.564175800988395,1,5.0,5.0,0.94992320060797
26,41,4.29186058544092,0.525895496696096,3,5.8,5.0,0.936255651368455
27,41,4.17482145711401,0.587397856627242,5,6.0,5.0,0.951459840330651
28,41,4.11287521550527,0.567388972180576,12,6.0,5.0,0.910797827115179
29,41,4.98198635589774,0.573996001999001,2,5.0,5.0,0.941474194339811
30,41,4.19002791981636,0.541357432394914,10,6.0,5.0,0.933590576706276
31,41,5.40839611053461,0.595265922594258,6,4.6,5.0,0.93638925769306
32,41,3.89947978385923,0.597853961907935,11,6.4,5.0,0.953733176687976
33,41,3.66857713015428,0.540117052584819,1,7.0,5.0,0.874319941373942
34,41,3.123130796086,0.576980509745127,13,8.2,5.0,0.89541364140517
35,41,4.20103496975798,0.669364762063413,12,6.0,5.0,0.937032744309438
36,41,3.00661344756835,0.676944860902882,1,8.2,5.0,0.931279654497805
37,41,2.81390643608648,0.6307969348659,0,8.6,5.0,0.886448506229369
38,41,3.49441980416025,0.536802043422733,8,7.6,5.0,0.800601571479217
39,41,4.62511287777349,0.444283413848631,7,5.4,5.0,0.940381542995479
40,41,3.73933118060965,0.420248542395469,3,6.8,5.0,0.888796298922203
41,41,4.48661378798868,0.535218835026931,10,5.6,5.0,0.933865506679466
42,41,6.57889532314196,0.501926370148259,6,3.8,5.0,0.950145798702611
43,41,4.46356189290492,0.565454939197068,12,5.6,5.0,0.955894525842478
44,41,3.68805781413736,0.638174690432561,6,6.8,5.0,0.953508419084403
45,41,3.28162116625588,0.654666666666667,10,7.6,5.0,0.958454463915252
46,41,3.32144144240438,0.585038924981954,16,7.4,5.0,0.910021112254389
47,41,2.86462460263171,0.638547504025765,7,8.8,5.0,0.943005247157435
48,41,2.45621803942844,0.609829307568438,5,10.0,5.0,0.923231975627906
49,41,2.51290558691452,0.547017269143206,1,10.2,5.0,0.902219051208046
50,41,2.70717725119583,0.672969848409129,9,8.8,5.0,0.861135498170276
51,41,3.28658727119348,0.512245543894719,0,7.8,5.0,0.883433582755722
52,41,3.3404089195201,0.525194291743017,4,7.6,5.0,0.908899508682709
53,41,5.6859336978193,0.480684879782331,8,4.4,5.0,0.944379704954462
54,41,6.57435145483867,0.454699761230496,2,3.8,5.0,0.941352577219332
55,41,5.68592184839436,0.494632905769338,3,4.4,5.0,0.945785084734152
56,41,5.42778778850777,0.491567771669721,6,4.6,5.0,0.942905167870048
57,41,7.34863503627369,0.524346049197623,0,3.4,5.0,0.948575695604704
58,41,5.44443311851097,0.513991781886834,14,4.6,5.0,0.942796737304738
59,41,6.58258390383748,0.633488700094397,9,3.8,5.0,0.960087846894791
60,41,5.00528735722486,0.640684768726748,7,5.0,5.0,0.959334883644331
61,41,3.94273074155584,0.642432894663779,2,6.4,5.0,0.932566226416905
62,41,3.46752470559057,0.629282803042923,2,7.2,5.0,0.958720282538983
63,41,3.8898709474959,0.64015792103948,7,6.4,5.0,0.949512199713308
64,41,3.64361990035871,0.680987173080127,2,6.8,5.0,0.939473458882739
