SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits
1,1,85.0,241,0.58091286307054
40,2,91.0,477,1.24109014675052
22,3,28.0,473,1.9492600422833
48,4,68.0,480,1.90833333333333
13,5,116.0,515,2.35145631067961
14,6,52.0,509,2.42043222003929
2,7,84.0,507,2.57396449704142
50,8,83.0,485,2.50927835051546
21,9,118.0,455,2.63956043956044
20,10,56.0,449,2.83741648106904
5,11,73.0,471,2.75583864118896
46,12,54.0,471,2.96602972399151
8,13,87.0,503,3.04174950298211
45,14,90.0,486,2.83744855967078
48,15,61.0,490,3.01836734693878
49,16,24.0,490,3.07959183673469
25,17,44.0,506,3.28656126482213
1,18,21.0,529,3.29111531190926
23,19,110.0,509,3.28290766208251
48,20,24.0,496,3.54032258064516
23,21,59.0,458,3.32096069868996
4,22,34.0,472,3.6843220338983
17,23,93.0,479,3.69311064718163
13,24,21.0,488,3.83811475409836
20,25,99.0,496,3.70362903225806
36,26,78.0,523,3.73231357552581
31,27,98.0,494,3.7165991902834
21,28,20.0,519,4.02890173410405
34,29,83.0,471,3.92781316348195
33,30,114.0,242,4.22314049586777
