SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits
1,1,104,257,2.315175097
2,5,12,259,2.1003861
3,18,42,254,2.181102362
4,23,80,235,2.076595745
5,12,13,246,2.195121951
6,4,16,213,2.17370892
7,21,113,220,2.2
8,12,58,243,2.222222222
9,20,65,219,2.200913242
10,18,92,200,2.115
11,7,39,225,2.413333333
12,22,96,241,2.460580913
13,18,29,267,2.625468165
14,14,19,226,2.318584071
15,22,58,253,2.533596838
16,12,28,248,2.717741935
17,29,12,224,2.59375
18,27,59,238,2.840336134
19,10,26,241,2.356846473
20,12,101,238,2.432773109
21,20,97,222,2.572072072
22,1,23,211,2.620853081
23,11,75,285,2.585964912
24,21,24,238,2.31512605
25,22,44,259,2.370656371
26,25,62,230,2.682608696
27,2,104,194,2.721649485
28,15,79,210,2.7
29,19,75,248,2.576612903
30,8,92,227,3.004405286
31,28,39,224,3.160714286
32,13,87,251,3.354581673
33,9,110,250,3.424
34,9,40,228,3.25877193
35,8,54,222,3.558558559
36,6,52,243,3.419753086
37,14,48,225,3.48
38,17,115,223,3.112107623
39,23,48,231,3.783549784
40,18,76,267,3.382022472
41,25,76,228,3.333333333
42,9,12,235,3.553191489
43,26,71,242,3.739669421
44,17,99,227,3.603524229
45,16,37,223,4.071748879
46,29,29,238,3.56302521
47,25,86,264,3.549242424
48,25,110,253,4.177865613
49,6,95,221,4.221719457
50,26,90,234,4.132478632
