WAVE_ID,Hits,eCount,FireRate1,ShotSpeed1,Health1,FireRate2,ShotSpeed2,Health2,FireRate3,ShotSpeed3,Health3,FireRate4,ShotSpeed4,Health4,FireRate5,ShotSpeed5,Health5,FireRate6,ShotSpeed6,Health6
1,0,1,108.0,0.1650436,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,2,35.0,0.43,11,62.0,0.34,0,45.0,0.22,0,0,0,0,0,0,0,0,0,0
3,15,3,113.0,0.33,11,23.0,0.31,0,18.0,0.11,0,27.0,0.17,0,0,0,0,0,0,0
4,21,4,31.0,0.31,11,5.0,0.15,0,104.0,0.19,0,54.0,0.16,0,9.0,0.32,0,0,0,0
5,8,3,26.0,0.27,0,80.0,0.3,0,89.0,0.44,0,0,0,0,0,0,0,0,0,0
6,15,3,28.0,0.19,11,43.0,0.32,0,61.0,0.17,0,21.0,0.39,0,0,0,0,0,0,0
7,12,3,49.0,0.25,0,6.0,0.35,0,12.0,0.47,0,0,0,0,0,0,0,0,0,0
8,6,3,20.0,0.21,11,94.0,0.34,0,63.0,0.12,0,32.0,0.45,0,0,0,0,0,0,0
9,9,2,36.0,0.47,11,96.0,0.19,0,18.0,0.37,0,0,0,0,0,0,0,0,0,0
10,10,2,35.0,0.39,11,22.0,0.28,0,111.0,0.29,0,0,0,0,0,0,0,0,0,0
11,6,2,107.0,0.37,11,85.0,0.44,0,75.0,0.23,0,0,0,0,0,0,0,0,0,0
12,5,3,44.0,0.3,0,62.0,0.25,0,99.0,0.19,0,0,0,0,0,0,0,0,0,0
13,7,1,24.0,0.47,11,25.0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5,3,29.0,0.1,0,62.0,0.22,0,103.0,0.35,0,0,0,0,0,0,0,0,0,0
15,2,2,102.0,0.33,0,67.0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,2,7.0,0.24,11,15.0,0.18,0,28.0,0.33,0,0,0,0,0,0,0,0,0,0
17,15,4,50.0,0.48,11,71.0,0.21,0,24.0,0.35,0,54.0,0.2,0,20.0,0.14,0,0,0,0
18,14,4,98.0,0.16,11,68.0,0.31,0,19.0,0.28,0,72.0,0.48,0,102.0,0.29,0,0,0,0
19,4,2,104.0,0.34,11,30.0,0.16,0,41.0,0.35,0,0,0,0,0,0,0,0,0,0
20,12,3,15.0,0.35,0,13.0,0.41,0,26.0,0.19,0,0,0,0,0,0,0,0,0,0
21,13,3,40.0,0.28,0,23.0,0.49,0,20.0,0.3,0,0,0,0,0,0,0,0,0,0
22,12,3,37.0,0.39,0,76.0,0.22,0,93.0,0.39,0,0,0,0,0,0,0,0,0,0
23,4,2,118.0,0.12,11,49.0,0.38,0,72.0,0.19,0,0,0,0,0,0,0,0,0,0
24,14,3,15.0,0.19,11,52.0,0.11,0,36.0,0.21,0,114.0,0.45,0,0,0,0,0,0,0
25,5,3,94.0,0.37,0,25.0,0.46,0,81.0,0.19,0,0,0,0,0,0,0,0,0,0
26,8,2,39.0,0.47,11,77.0,0.13,0,81.0,0.45,0,0,0,0,0,0,0,0,0,0
27,6,2,64.0,0.43,0,115.0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,2,22.0,0.46,0,108.0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
29,13,2,47.0,0.36,11,29.0,0.14,0,91.0,0.39,0,0,0,0,0,0,0,0,0,0
30,3,2,63.0,0.45,11,68.0,0.23,0,71.0,0.1,0,0,0,0,0,0,0,0,0,0
31,17,3,85.0,0.19,11,70.0,0.22,0,106.0,0.44,0,37.0,0.41,0,0,0,0,0,0,0
32,11,3,23.0,0.27,0,16.0,0.36,0,76.0,0.31,0,0,0,0,0,0,0,0,0,0
33,10,2,97.0,0.29,11,43.0,0.42,0,92.0,0.14,0,0,0,0,0,0,0,0,0,0
34,4,3,52.0,0.28,0,107.0,0.3,0,91.0,0.46,0,0,0,0,0,0,0,0,0,0
35,8,2,44.0,0.32,11,27.0,0.22,0,10.0,0.21,0,0,0,0,0,0,0,0,0,0
36,22,4,119.0,0.39,11,90.0,0.4,0,86.0,0.27,0,28.0,0.29,0,28.0,0.28,0,0,0,0
37,4,3,49.0,0.3,0,30.0,0.32,0,77.0,0.24,0,0,0,0,0,0,0,0,0,0
38,8,2,108.0,0.1,11,26.0,0.21,0,94.0,0.27,0,0,0,0,0,0,0,0,0,0
39,8,2,74.0,0.16,11,21.0,0.16,0,12.0,0.27,0,0,0,0,0,0,0,0,0,0
40,2,2,104.0,0.42,11,111.0,0.1,0,109.0,0.21,0,0,0,0,0,0,0,0,0,0
41,14,4,75.0,0.2,0,12.0,0.46,0,52.0,0.31,0,28.0,0.19,0,0,0,0,0,0,0
42,13,3,109.0,0.28,11,101.0,0.42,0,117.0,0.24,0,76.0,0.41,0,0,0,0,0,0,0
43,3,3,85.0,0.12,0,93.0,0.22,0,86.0,0.3,0,0,0,0,0,0,0,0,0,0
44,4,3,25.0,0.47,11,117.0,0.44,0,91.0,0.19,0,110.0,0.15,0,0,0,0,0,0,0
45,5,2,65.0,0.46,0,57.0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
46,9,2,36.0,0.47,11,87.0,0.49,0,42.0,0.34,0,0,0,0,0,0,0,0,0,0
47,3,3,23.0,0.13,0,100.0,0.15,0,12.0,0.11,0,0,0,0,0,0,0,0,0,0
48,17,5,29.0,0.18,0,64.0,0.36,0,113.0,0.43,0,108.0,0.26,0,118.0,0.34,0,0,0,0
49,8,3,73.0,0.1,0,73.0,0.39,0,27.0,0.47,0,0,0,0,0,0,0,0,0,0
50,9,2,28.0,0.37,11,21.0,0.16,0,67.0,0.22,0,0,0,0,0,0,0,0,0,0
51,8,3,91.0,0.25,0,41.0,0.46,0,88.0,0.35,0,0,0,0,0,0,0,0,0,0
52,12,3,46.0,0.29,0,22.0,0.28,0,59.0,0.41,0,0,0,0,0,0,0,0,0,0
53,16,3,93.0,0.4,11,119.0,0.37,0,7.0,0.44,0,48.0,0.12,0,0,0,0,0,0,0
54,11,4,12.0,0.48,0,68.0,0.23,0,43.0,0.2,0,18.0,0.12,0,0,0,0,0,0,0
55,16,3,106.0,0.19,0,37.0,0.43,0,66.0,0.38,0,0,0,0,0,0,0,0,0,0
56,3,2,67.0,0.44,11,56.0,0.18,0,85.0,0.33,0,0,0,0,0,0,0,0,0,0
57,2,4,92.0,0.15,0,96.0,0.31,0,29.0,0.22,0,82.0,0.15,0,0,0,0,0,0,0
58,21,3,82.0,0.29,11,15.0,0.12,0,9.0,0.39,0,90.0,0.47,0,0,0,0,0,0,0
59,2,3,97.0,0.49,0,55.0,0.28,0,37.0,0.1,0,0,0,0,0,0,0,0,0,0
60,13,4,94.0,0.22,0,21.0,0.42,0,17.0,0.26,0,60.0,0.43,0,0,0,0,0,0,0
61,19,2,68.0,0.45,11,89.0,0.42,0,12.0,0.47,0,0,0,0,0,0,0,0,0,0
62,6,2,59.0,0.38,11,91.0,0.29,0,60.0,0.33,0,0,0,0,0,0,0,0,0,0
63,11,3,34.0,0.43,0,14.0,0.38,0,106.0,0.2,0,0,0,0,0,0,0,0,0,0
64,15,3,111.0,0.38,0,9.0,0.38,0,84.0,0.35,0,0,0,0,0,0,0,0,0,0
65,14,2,43.0,0.21,0,11.0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
66,7,3,45.0,0.33,0,13.0,0.2,0,59.0,0.18,0,0,0,0,0,0,0,0,0,0
67,19,3,15.0,0.16,11,91.0,0.33,0,34.0,0.49,0,101.0,0.48,0,0,0,0,0,0,0
68,10,3,85.0,0.21,0,81.0,0.1,0,6.0,0.33,0,0,0,0,0,0,0,0,0,0
69,10,4,64.0,0.32,0,100.0,0.19,0,58.0,0.47,0,91.0,0.19,0,0,0,0,0,0,0
70,2,3,99.0,0.12,0,18.0,0.32,0,8.0,0.18,0,0,0,0,0,0,0,0,0,0
71,7,2,78.0,0.18,11,10.0,0.38,0,65.0,0.11,0,0,0,0,0,0,0,0,0,0
72,21,4,41.0,0.47,11,90.0,0.39,0,108.0,0.12,0,52.0,0.4,0,98.0,0.29,0,0,0,0
73,23,3,70.0,0.42,0,54.0,0.39,0,12.0,0.49,0,0,0,0,0,0,0,0,0,0
74,14,3,111.0,0.25,0,55.0,0.46,0,84.0,0.47,0,0,0,0,0,0,0,0,0,0
75,5,2,103.0,0.12,11,8.0,0.14,0,11.0,0.15,0,0,0,0,0,0,0,0,0,0
76,22,3,44.0,0.34,11,114.0,0.23,0,40.0,0.4,0,111.0,0.49,0,0,0,0,0,0,0
77,6,2,113.0,0.12,11,14.0,0.13,0,21.0,0.17,0,0,0,0,0,0,0,0,0,0
78,13,3,38.0,0.33,11,45.0,0.12,0,27.0,0.42,0,48.0,0.37,0,0,0,0,0,0,0
79,8,4,24.0,0.19,0,11.0,0.12,0,56.0,0.19,0,103.0,0.35,0,0,0,0,0,0,0
80,2,3,113.0,0.3,0,81.0,0.31,0,70.0,0.13,0,0,0,0,0,0,0,0,0,0
81,2,2,69.0,0.16,0,83.0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0
82,30,3,82.0,0.37,11,92.0,0.13,0,91.0,0.45,0,20.0,0.43,0,0,0,0,0,0,0
83,10,3,115.0,0.42,0,64.0,0.23,0,29.0,0.41,0,0,0,0,0,0,0,0,0,0
84,7,3,38.0,0.31,11,94.0,0.19,0,37.0,0.15,0,84.0,0.43,0,0,0,0,0,0,0
85,19,4,43.0,0.42,11,67.0,0.44,0,41.0,0.24,0,99.0,0.43,0,81.0,0.4,0,0,0,0
86,17,3,56.0,0.17,11,24.0,0.21,0,59.0,0.25,0,43.0,0.44,0,0,0,0,0,0,0
87,20,4,85.0,0.41,0,112.0,0.28,0,51.0,0.34,0,99.0,0.46,0,0,0,0,0,0,0
88,10,3,108.0,0.19,11,63.0,0.42,0,34.0,0.44,0,25.0,0.11,0,0,0,0,0,0,0
89,6,2,98.0,0.32,11,13.0,0.25,0,6.0,0.47,0,0,0,0,0,0,0,0,0,0
90,15,3,39.0,0.26,11,52.0,0.45,0,93.0,0.48,0,29.0,0.25,0,0,0,0,0,0,0
91,8,2,53.0,0.49,11,12.0,0.13,0,14.0,0.12,0,0,0,0,0,0,0,0,0,0
92,5,3,38.0,0.2,0,37.0,0.2,0,91.0,0.24,0,0,0,0,0,0,0,0,0,0
93,2,2,82.0,0.15,11,91.0,0.36,0,54.0,0.15,0,0,0,0,0,0,0,0,0,0
94,11,3,110.0,0.32,11,98.0,0.43,0,75.0,0.44,0,88.0,0.41,0,0,0,0,0,0,0
95,18,4,100.0,0.22,0,12.0,0.49,0,5.0,0.14,0,71.0,0.35,0,0,0,0,0,0,0
96,3,3,110.0,0.37,0,13.0,0.15,0,84.0,0.16,0,0,0,0,0,0,0,0,0,0
97,3,1,39.0,0.44,11,104.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
98,8,3,36.0,0.17,11,81.0,0.1,0,102.0,0.36,0,85.0,0.25,0,0,0,0,0,0,0
99,14,3,94.0,0.19,0,31.0,0.36,0,16.0,0.21,0,0,0,0,0,0,0,0,0,0
100,12,3,112.0,0.42,11,96.0,0.28,0,80.0,0.35,0,79.0,0.38,0,0,0,0,0,0,0
101,16,3,37.0,0.17,0,79.0,0.38,0,78.0,0.48,0,0,0,0,0,0,0,0,0,0
102,6,2,53.0,0.23,0,22.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
103,6,2,75.0,0.43,11,44.0,0.32,0,74.0,0.43,0,0,0,0,0,0,0,0,0,0
104,11,2,48.0,0.29,11,97.0,0.47,0,51.0,0.47,0,0,0,0,0,0,0,0,0,0
105,7,3,17.0,0.31,0,93.0,0.12,0,47.0,0.27,0,0,0,0,0,0,0,0,0,0
106,17,4,58.0,0.28,0,9.0,0.42,0,58.0,0.28,0,109.0,0.47,0,0,0,0,0,0,0
107,3,1,21.0,0.35,11,90.0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0
108,14,3,113.0,0.32,11,16.0,0.16,0,44.0,0.33,0,92.0,0.19,0,0,0,0,0,0,0
109,6,3,26.0,0.48,0,31.0,0.36,0,38.0,0.21,0,0,0,0,0,0,0,0,0,0
