WAVE_ID,Hits,eCount,FireRate1,ShotSpeed1,Health1,FireRate2,ShotSpeed2,Health2,FireRate3,ShotSpeed3,Health3,FireRate4,ShotSpeed4,Health4,FireRate5,ShotSpeed5,Health5,FireRate6,ShotSpeed6,Health6
4,7,1,29.0,0.4700195,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,13.0,0.2569073,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,1,75.0,0.4892138,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,1,43.0,0.02540798,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,1,119.0,0.3809948,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,1,74.0,0.3975568,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2,1,18.0,0.4846439,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2,1,113.0,0.1921885,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,1,58.0,0.3014661,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,5,1,31.0,0.3439329,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,1,119.0,0.4474178,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,114.0,0.1213417,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,7,1,23.0,0.5074052,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2,1,95.0,0.334463,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,4,1,42.0,0.1382244,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,1,32.0,0.1592414,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,1,71.0,0.2681742,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,4,1,9.0,0.07362993,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2,1,37.0,0.4003468,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2,1,59.0,0.3520413,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,1,98.0,0.0912822,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,3,1,106.0,0.197109,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,1,1,98.0,0.3383105,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,1,78.0,0.0799035,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,1,47.0,0.06275018,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,1,47.0,0.3811867,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,1,1,92.0,0.3133993,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2,1,8.0,0.07732017,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,1,95.0,0.09024467,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,1,114.0,0.2049163,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,1,117.0,0.1788765,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,3,1,16.0,0.06330122,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,2,1,83.0,0.2648135,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,0,1,32.0,0.3439258,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,1,1,61.0,0.4872317,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,1,1,93.0,0.2051899,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,1,1,89.0,0.1304862,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,4,1,37.0,0.4818901,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,0,1,64.0,0.2132159,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,2,1,109.0,0.2897069,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0,1,97.0,0.3689078,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,5,1,23.0,0.3102743,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,1,1,40.0,0.2695076,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,0,1,38.0,0.466898,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,2,1,50.0,0.351516,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,5,1,22.0,0.311141,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,0,1,59.0,0.01048381,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,1,40.0,0.0612392,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,4,1,11.0,0.2694478,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,0,1,90.0,0.1888792,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2,1,12.0,0.4380808,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,0,1,98.0,0.4179655,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,3,1,9.0,0.4025469,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,0,1,93.0,0.1555781,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,1,1,53.0,0.08148171,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,1,1,40.0,0.02713079,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,1,111.0,0.02727551,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,2,1,14.0,0.04137333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,7,1,17.0,0.3107938,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0,1,118.0,0.3731529,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,1,66.0,0.1998153,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,0,1,83.0,0.0704924,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,0,1,44.0,0.03844757,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,1,1,78.0,0.2690189,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,1,1,92.0,0.1279199,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
