SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits,hit_count
15,23,5.0,8,2.25,18
15,6,6.0,13,1.07692307692308,14
18,26,7.0,17,1.47058823529412,25
31,12,8.0,12,3.75,45
48,21,9.0,16,2.9375,47
30,11,10.0,15,3.73333333333333,56
17,11,11.0,11,2.0,22
47,21,12.0,18,3.83333333333333,69
10,6,13.0,12,3.0,36
42,11,14.0,11,3.09090909090909,34
9,22,15.0,12,2.66666666666667,32
39,28,16.0,12,4.16666666666667,50
38,15,17.0,13,2.69230769230769,35
36,6,18.0,7,4.0,28
48,8,19.0,10,2.8,28
46,30,20.0,11,2.54545454545455,28
14,12,21.0,10,3.1,31
44,23,22.0,12,4.75,57
42,30,23.0,11,3.63636363636364,40
19,2,24.0,15,1.86666666666667,28
17,21,25.0,10,2.3,23
13,3,26.0,6,2.33333333333333,14
30,17,27.0,12,2.83333333333333,34
10,28,28.0,10,3.2,32
44,5,29.0,20,2.5,50
32,5,30.0,22,1.95454545454545,43
44,20,31.0,15,2.0,30
25,28,32.0,11,2.63636363636364,29
13,19,33.0,17,1.47058823529412,25
2,11,34.0,8,1.375,11
22,7,35.0,8,2.375,19
44,28,36.0,16,1.5,24
20,9,37.0,18,1.33333333333333,24
33,27,38.0,17,1.64705882352941,28
48,15,39.0,16,1.375,22
47,5,40.0,11,1.27272727272727,14
35,8,41.0,8,1.875,15
11,28,42.0,8,1.75,14
5,1,43.0,11,1.18181818181818,13
11,25,44.0,8,1.375,11
21,29,45.0,17,1.11764705882353,19
2,21,46.0,15,1.06666666666667,16
11,13,47.0,9,0.666666666666667,6
44,14,48.0,3,1.0,3
23,5,49.0,16,1.25,20
27,22,50.0,11,0.181818181818182,2
32,1,51.0,17,0.882352941176471,15
41,9,52.0,8,1.0,8
21,29,53.0,13,0.923076923076923,12
4,9,54.0,13,0.692307692307692,9
36,24,55.0,10,1.1,11
29,3,56.0,14,1.07142857142857,15
27,12,57.0,14,0.857142857142857,12
14,23,58.0,14,1.07142857142857,15
39,5,59.0,13,1.30769230769231,17
21,20,60.0,21,0.666666666666667,14
2,25,61.0,13,0.846153846153846,11
49,23,62.0,13,1.15384615384615,15
26,24,63.0,9,0.222222222222222,2
36,4,64.0,15,0.733333333333333,11
13,22,65.0,13,0.769230769230769,10
35,10,66.0,13,0.461538461538462,6
43,24,67.0,10,0.5,5
27,18,68.0,16,0.75,12
36,5,69.0,13,0.461538461538462,6
49,22,70.0,16,1.125,18
27,19,71.0,15,0.8,12
39,4,72.0,12,0.916666666666667,11
4,16,73.0,12,0.333333333333333,4
47,20,74.0,12,0.416666666666667,5
13,16,75.0,12,1.0,12
41,23,76.0,9,0.777777777777778,7
4,17,77.0,20,0.6,12
39,11,78.0,8,0.5,4
4,7,79.0,15,0.333333333333333,5
42,15,80.0,22,0.818181818181818,18
43,4,81.0,16,0.5625,9
3,15,82.0,12,0.25,3
44,13,83.0,10,1.2,12
38,30,84.0,10,0.4,4
3,11,85.0,13,0.615384615384615,8
33,8,86.0,14,0.571428571428571,8
14,6,87.0,12,0.75,9
24,7,88.0,15,0.6,9
30,5,89.0,20,0.25,5
11,4,90.0,11,1.09090909090909,12
44,7,91.0,11,0.363636363636364,4
12,4,92.0,15,0.6,9
31,18,93.0,15,0.333333333333333,5
45,14,94.0,9,0.666666666666667,6
2,25,95.0,7,0.142857142857143,1
36,27,96.0,12,0.333333333333333,4
9,17,97.0,10,0.8,8
27,13,98.0,12,0.666666666666667,8
39,26,99.0,11,1.09090909090909,12
47,2,100.0,12,0.416666666666667,5
4,19,101.0,20,0.5,10
41,24,102.0,9,0.444444444444444,4
34,21,103.0,21,0.571428571428571,12
3,19,104.0,17,0.470588235294118,8
26,23,105.0,14,0.642857142857143,9
38,7,106.0,9,0.666666666666667,6
34,18,107.0,15,0.333333333333333,5
26,11,108.0,9,0.555555555555556,5
17,22,109.0,16,0.4375,7
33,11,110.0,18,0.5,9
17,18,111.0,16,0.3125,5
28,17,112.0,15,0.4,6
39,18,113.0,17,0.529411764705882,9
25,4,114.0,9,0.555555555555556,5
7,4,115.0,15,0.466666666666667,7
47,22,116.0,14,0.285714285714286,4
38,24,117.0,17,0.294117647058824,5
50,6,118.0,12,0.333333333333333,4
25,16,119.0,19,0.368421052631579,7
15,11,120.0,6,0.166666666666667,1
