WAVE_ID,TEST_ID,PREDICTION,VARIANCE,HITS,AVERAGE,TARGET,FITNESS
2,28,5.02129134659442,0.0,11,0.0,5.0,0.979152523637369
3,28,5.00631561282916,0.0,0,0.0,5.0,0.993724023934308
4,28,5.04477034174718,0.0,3,0.0,5.0,0.95714815056104
5,28,4.99724359530401,0.0,3,0.0,5.0,0.99725117219142
6,28,4.98602288321853,0.0,3,0.0,5.0,0.986215549964467
7,28,4.99200833301135,0.0,7,0.0,5.0,0.992071693479257
8,28,6.25821646364262,0.0,15,4.0,5.0,0.991850496144023
9,28,7.80995026307716,0.0,6,3.2,5.0,0.997456747631261
10,28,4.03858604265052,0.0,4,6.2,5.0,0.993711813174678
11,28,3.65267368274745,0.0,8,6.8,5.0,0.976756225067874
12,28,3.57555605381679,0.0,5,7.0,5.0,0.995889483665927
13,28,3.11589720862952,0.0,3,8.0,5.0,0.990979321805449
14,28,3.30510185505832,0.0,3,7.6,5.0,0.984612311197879
15,28,4.77371151797947,0.0,9,5.2,5.0,0.967135955680183
16,28,5.43650118061817,0.0,4,4.6,5.0,0.998284376546971
17,28,4.46167930239684,0.0,10,5.6,5.0,0.997400363792651
18,28,5.19075821466074,0.0,16,4.8,5.0,0.982728431181236
19,28,4.29912450838235,0.0,7,5.8,5.0,0.988904179451718
20,28,2.96535642408891,0.0,5,8.4,5.0,0.989282066424688
21,28,2.71533151090665,0.0,1,9.2,5.0,0.99794444069476
22,28,3.20664880449056,0.0,4,8.4,5.0,0.812705292244554
23,28,3.20509954214234,0.0,3,7.8,5.0,0.999971337835901
24,28,3.81853607253948,0.0,11,6.6,5.0,0.970254628343644
25,28,6.23732512378695,0.0,6,4.0,5.0,0.98748376524093
26,28,5.22497352963643,0.0,6,4.8,5.0,0.983632168298399
27,28,4.99987220854897,0.0,9,5.0,5.0,0.99987222487239
28,28,4.167654086245,0.0,7,6.0,5.0,0.999013554409991
29,28,3.55867047326642,0.0,14,7.0,5.0,0.987402620071813
30,28,3.19912178079961,0.0,0,7.8,5.0,0.994029437417001
31,28,3.04530334885313,0.0,1,8.4,5.0,0.935354931914493
32,28,3.42681510768366,0.0,0,7.2,5.0,0.956565138942779
33,28,4.06263901962594,0.0,2,6.2,5.0,0.970514832577672
34,28,5.6975724753283,0.0,8,4.4,5.0,0.984490054584193
35,28,7.35534800221814,0.0,18,3.4,5.0,0.997598953124369
36,28,11.3624201969486,0.0,19,2.2,5.0,0.998785310611988
37,28,4.30977284654656,0.0,19,5.8,5.0,0.999428345961039
38,28,2.65153934449572,0.0,11,9.4,5.0,0.992028925220833
39,28,1.89357904883624,0.0,2,13.2,5.0,0.999639784712235
40,28,1.67158343698263,0.0,1,15.0,5.0,0.995107285967734
41,28,1.76518160953167,0.0,1,13.8,5.0,0.955645990066254
42,28,2.39044303682003,0.0,1,10.4,5.0,0.98677415087424
