SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits,hit_count
24,1,46.0,29,0.827586206896552,24
18,2,27.0,59,0.966101694915254,57
20,3,55.0,44,0.681818181818182,30
32,4,86.0,50,1.32,66
50,5,106.0,59,1.3728813559322,81
31,6,22.0,48,0.9375,45
40,7,101.0,46,1.58695652173913,73
17,8,30.0,48,1.1875,57
6,9,113.0,57,0.964912280701754,55
21,10,55.0,57,1.56140350877193,89
32,11,37.0,49,1.6530612244898,81
16,12,15.0,41,1.85365853658537,76
42,13,85.0,47,1.63829787234043,77
22,14,27.0,47,2.04255319148936,96
43,15,115.0,59,2.08474576271186,123
13,16,52.0,55,1.52727272727273,84
11,17,119.0,42,2.11904761904762,89
47,18,98.0,72,2.44444444444444,176
43,19,9.0,55,2.54545454545455,140
34,20,16.0,41,2.09756097560976,86
19,21,114.0,56,2.23214285714286,125
49,22,90.0,57,2.63157894736842,150
10,23,92.0,56,2.03571428571429,114
3,24,9.0,50,2.8,140
43,25,85.0,44,2.27272727272727,100
21,26,23.0,49,3.20408163265306,157
44,27,64.0,44,3.11363636363636,137
13,28,46.0,39,3.46153846153846,135
7,29,94.0,67,2.82089552238806,189
49,30,61.0,33,4.39393939393939,145
