SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits
29,1,75,164,0.87195122
28,2,46,296,1.222972973
42,3,83,311,1.607717042
20,4,54,290,2.010344828
12,5,23,309,1.828478964
9,6,95,335,2.4
47,7,93,305,2.081967213
3,8,41,305,2.193442623
50,9,84,311,2.266881029
28,10,34,316,2.382911392
19,11,21,328,2.509146341
22,12,73,293,2.689419795
13,13,99,311,2.453376206
7,14,48,302,2.870860927
22,15,72,312,2.903846154
6,16,104,286,2.713286713
28,17,6,299,2.846153846
28,18,118,281,2.772241993
8,19,25,334,3.146706587
7,20,108,291,2.89347079
10,21,32,319,2.946708464
40,22,101,311,3.450160772
10,23,28,323,3.346749226
3,24,42,300,3.333333333
47,25,64,337,3.581602374
45,26,15,320,3.225
25,27,90,307,3.723127036
11,28,56,323,3.708978328
9,29,74,330,3.681818182
39,30,14,151,4.483443709
