SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits
1,19,56,39,0.58974359
2,27,69,55,0.509090909
3,18,67,47,0.957446809
4,7,100,45,0.666666667
5,27,94,42,0.595238095
6,19,15,45,0.755555556
7,28,25,46,0.97826087
8,16,87,55,0.945454545
9,7,17,56,1.035714286
10,19,40,31,1.129032258
11,24,100,49,1.102040816
12,17,80,45,1.088888889
13,10,72,56,1.571428571
14,2,74,45,1.577777778
15,28,55,37,1.459459459
16,11,15,48,1.958333333
17,24,107,56,1.357142857
18,15,40,49,1.734693878
19,24,52,53,1.264150943
20,6,76,44,1.409090909
21,27,90,46,1.217391304
22,5,55,54,1.425925926
23,4,15,48,1.354166667
24,28,33,39,1.538461538
25,4,25,46,1.652173913
26,11,9,55,1.145454545
27,20,75,48,1.708333333
28,28,8,53,1.452830189
29,20,78,48,1.416666667
30,27,54,40,1.775
31,20,52,55,1.745454545
32,25,21,57,1.754385965
33,13,99,38,1.947368421
34,8,38,43,2.023255814
35,22,34,40,1.925
36,15,5,53,1.528301887
37,23,78,45,1.644444444
38,25,102,34,1.764705882
39,23,77,43,1.813953488
40,8,45,33,1.727272727
41,30,50,51,1.882352941
42,11,12,47,1.829787234
43,21,91,43,1.88372093
44,13,87,53,2.169811321
45,1,22,31,1.516129032
46,21,99,40,2.375
47,24,42,44,2.477272727
48,8,116,45,1.977777778
49,10,95,45,1.622222222
50,7,25,38,2
