SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits,hit_count
1,21,91.0,35,0.457142857142857,16
2,15,82.0,25,1.0,25
3,24,9.0,26,0.807692307692308,21
4,26,6.0,32,1.1875,38
5,27,6.0,32,0.875,28
6,11,35.0,27,0.481481481481482,13
7,29,94.0,29,1.58620689655172,46
8,11,47.0,34,0.735294117647059,25
9,19,37.0,20,1.55,31
10,5,50.0,30,0.9,27
11,17,119.0,22,0.772727272727273,17
12,6,56.0,25,1.28,32
13,5,53.0,28,1.53571428571429,43
14,14,90.0,32,1.0,32
15,2,16.0,27,1.14814814814815,31
16,12,15.0,32,1.0625,34
17,2,68.0,31,1.51612903225806,47
18,2,27.0,40,1.725,69
19,21,114.0,35,1.71428571428571,60
20,3,55.0,33,1.57575757575758,52
21,22,22.0,38,2.23684210526316,85
22,14,27.0,24,2.29166666666667,55
23,19,86.0,30,2.13333333333333,64
24,1,46.0,32,2.09375,67
25,24,116.0,31,2.67741935483871,83
26,15,47.0,33,1.93939393939394,64
27,4,6.0,36,1.83333333333333,66
28,19,49.0,26,1.80769230769231,47
29,6,66.0,39,2.28205128205128,89
30,7,115.0,25,2.72,68
31,6,22.0,37,2.32432432432432,86
32,11,37.0,32,2.0625,66
33,12,100.0,33,2.57575757575758,85
34,20,16.0,24,2.75,66
35,21,77.0,25,2.48,62
36,2,8.0,27,1.2962962962963,35
37,14,25.0,22,2.86363636363636,63
38,2,14.0,20,2.65,53
39,25,48.0,39,3.41025641025641,133
40,7,101.0,36,2.61111111111111,94
41,17,105.0,32,1.9375,62
42,21,81.0,30,3.33333333333333,100
43,15,115.0,27,4.18518518518519,113
44,27,64.0,34,2.91176470588235,99
45,22,35.0,27,3.48148148148148,94
46,16,106.0,27,2.40740740740741,65
47,18,98.0,41,2.36585365853659,97
48,22,101.0,24,4.41666666666667,106
49,22,90.0,28,2.71428571428571,76
50,5,106.0,26,2.57692307692308,67
