WAVE_ID,Hits,eCount,FireRate1,ShotSpeed1,Health1,FireRate2,ShotSpeed2,Health2,FireRate3,ShotSpeed3,Health3,FireRate4,ShotSpeed4,Health4,FireRate5,ShotSpeed5,Health5,FireRate6,ShotSpeed6,Health6
9,24,6,10.0,0.06661607,23,63.0,0.2992138,5,20.0,0.02363182,10,59.0,0.05022146,27,18.0,0.2971094,13,88.0,0.3486867,29
10,20,6,87.0,0.1080089,17,62.0,0.3281134,19,63.0,0.4633086,11,30.0,0.4871352,2,106.0,0.4508361,25,80.0,0.05441345,11
14,17,6,12.0,0.2107158,4,118.0,0.4756188,8,51.0,0.01421387,28,94.0,0.126876,19,72.0,0.4234606,24,68.0,0.3038839,22
19,13,6,14.0,0.2227184,6,52.0,0.394914,21,24.0,0.04485835,23,96.0,0.4427298,12,114.0,0.2839727,12,103.0,0.09865345,19
23,21,6,38.0,0.3470606,26,14.0,0.4023252,4,111.0,0.060201,23,55.0,0.1760595,10,84.0,0.2954644,17,36.0,0.32063,5
28,18,6,61.0,0.3532643,30,39.0,0.1804797,17,20.0,0.2926867,9,96.0,0.2983807,6,87.0,0.2885926,19,29.0,0.2552146,24
45,19,6,27.0,0.1919025,27,43.0,0.3137564,6,71.0,0.1142213,19,80.0,0.3380935,6,57.0,0.3833317,12,105.0,0.5032908,7
47,28,6,118.0,0.05388273,28,76.0,0.03793068,17,45.0,0.09677531,28,112.0,0.4069237,18,104.0,0.2479364,22,73.0,0.4144333,18
49,20,6,36.0,0.3248363,19,6.0,0.09014328,25,17.0,0.2725121,12,86.0,0.2157219,12,97.0,0.2090512,4,44.0,0.2822329,25
54,16,6,116.0,0.3687505,4,82.0,0.2965237,26,98.0,0.1260266,24,52.0,0.1660521,18,81.0,0.309281,11,49.0,0.2725649,1
56,14,6,7.0,0.2366861,9,85.0,0.2724627,26,51.0,0.1493293,6,63.0,0.2497148,5,58.0,0.4788221,3,50.0,0.229939,21
59,15,6,89.0,0.05774523,28,55.0,0.1297111,9,37.0,0.3789701,3,67.0,0.497486,1,119.0,0.3176049,5,9.0,0.04794164,9
78,22,6,25.0,0.4571443,5,93.0,0.3510836,21,22.0,0.3333993,11,87.0,0.3399349,23,91.0,0.3243323,12,33.0,0.358563,18
92,22,6,102.0,0.4280929,1,96.0,0.106463,9,15.0,0.3828304,28,77.0,0.2835938,4,53.0,0.3098351,26,46.0,0.3558908,5
96,16,6,113.0,0.357848,12,27.0,0.3977981,24,74.0,0.3377074,24,34.0,0.112754,25,40.0,0.2176638,22,6.0,0.4870501,6
98,24,6,8.0,0.2781188,7,9.0,0.3795994,19,89.0,0.2091818,27,34.0,0.266482,26,93.0,0.1825236,29,102.0,0.1140142,10
100,15,6,49.0,0.2196656,22,102.0,0.08298333,7,61.0,0.3923371,3,86.0,0.3814839,29,66.0,0.3593509,19,87.0,0.3366953,7
101,18,6,81.0,0.3921878,7,33.0,0.1549137,6,111.0,0.4435027,28,41.0,0.3056277,1,31.0,0.1827807,26,62.0,0.3623786,15
106,23,6,57.0,0.4601609,23,93.0,0.3832861,6,96.0,0.3543393,17,19.0,0.4717509,5,56.0,0.2526433,20,80.0,0.4180624,22
115,20,6,66.0,0.08151759,17,83.0,0.4781213,8,30.0,0.367729,9,82.0,0.1972631,21,104.0,0.2470152,28,104.0,0.1693179,29
119,38,6,25.0,0.1632148,29,20.0,0.4910225,29,15.0,0.5099651,12,69.0,0.04730709,18,29.0,0.04287429,15,30.0,0.1210402,9
122,15,6,73.0,0.1960259,8,17.0,0.2675929,3,71.0,0.4752811,19,119.0,0.147775,10,108.0,0.08928432,4,28.0,0.24023,24
129,24,6,72.0,0.1352223,12,10.0,0.3649097,23,31.0,0.5085521,9,39.0,0.2522594,27,69.0,0.01640655,11,41.0,0.1763962,27
135,19,6,7.0,0.2719353,8,65.0,0.2366999,13,62.0,0.322295,24,41.0,0.3842826,16,46.0,0.2336807,11,16.0,0.08184029,22
141,21,6,107.0,0.1903603,24,94.0,0.03681536,5,93.0,0.05164643,26,46.0,0.4603254,16,40.0,0.2355566,21,58.0,0.04536106,14
146,23,6,17.0,0.05911632,17,88.0,0.3927558,24,48.0,0.0127836,27,98.0,0.1108058,24,109.0,0.4665165,20,66.0,0.2286938,28
150,22,6,113.0,0.4136923,28,79.0,0.1448136,26,101.0,0.3782471,15,100.0,0.493876,3,50.0,0.02617932,28,75.0,0.4507367,4
158,17,6,55.0,0.4973344,10,64.0,0.1205448,2,105.0,0.3422185,23,60.0,0.1108744,15,90.0,0.05383737,25,22.0,0.01099063,20
160,25,6,73.0,0.06418587,20,22.0,0.4628045,11,115.0,0.05121131,27,78.0,0.4645341,23,116.0,0.04169942,15,93.0,0.3078537,19
183,26,6,43.0,0.1113962,3,13.0,0.3780479,23,88.0,0.289846,25,14.0,0.4628429,6,111.0,0.2000812,2,13.0,0.03101749,9
185,12,6,19.0,0.3000413,15,113.0,0.419568,15,52.0,0.1516784,12,33.0,0.06198646,2,100.0,0.03356542,17,84.0,0.1593169,9
188,18,6,102.0,0.2775131,25,41.0,0.4559432,3,75.0,0.05476464,28,79.0,0.3607801,16,120.0,0.3474546,12,110.0,0.07080103,25
194,11,6,89.0,0.3511803,13,13.0,0.1092194,13,16.0,0.3586265,11,109.0,0.430966,11,47.0,0.1614663,3,31.0,0.1349252,4
198,16,6,53.0,0.2010223,22,57.0,0.1782641,6,35.0,0.1722451,24,90.0,0.03690673,1,46.0,0.3148294,20,56.0,0.1263125,7
202,28,6,19.0,0.4487323,18,77.0,0.1164853,27,98.0,0.07261755,26,48.0,0.371598,25,50.0,0.500887,1,55.0,0.1805485,8
207,23,6,24.0,0.3218032,20,99.0,0.4099568,3,111.0,0.3757415,10,6.0,0.02197028,11,78.0,0.4877449,20,17.0,0.128327,9
211,28,6,116.0,0.1975326,28,39.0,0.1876101,21,82.0,0.02569325,6,92.0,0.477483,5,49.0,0.1387936,8,20.0,0.4845446,19
215,11,6,42.0,0.2058905,1,19.0,0.3089938,2,49.0,0.3516085,11,92.0,0.2654823,4,83.0,0.3661798,29,40.0,0.1205231,12
231,19,6,31.0,0.1504903,28,118.0,0.156223,2,59.0,0.1671077,10,95.0,0.06779857,27,100.0,0.05620785,11,106.0,0.4819706,29
233,9,6,39.0,0.2009261,15,62.0,0.3611572,2,46.0,0.278809,14,94.0,0.4470525,15,37.0,0.4258511,1,116.0,0.1232065,5
234,29,6,21.0,0.3952044,9,107.0,0.3433767,13,11.0,0.1065535,3,13.0,0.4504958,23,18.0,0.466153,9,114.0,0.1436519,11
236,25,6,54.0,0.2021777,23,72.0,0.3836509,3,83.0,0.118757,29,30.0,0.2736419,29,32.0,0.0944642,18,69.0,0.2468924,10
238,19,6,35.0,0.3396942,20,110.0,0.3140583,11,64.0,0.05857964,14,71.0,0.1769134,23,36.0,0.3678242,24,103.0,0.1929877,19
240,22,6,15.0,0.3736506,19,34.0,0.3870248,9,47.0,0.05372204,14,27.0,0.1695116,5,42.0,0.4789764,23,72.0,0.4940924,25
245,25,6,38.0,0.2843438,11,8.0,0.4969984,13,70.0,0.201103,5,42.0,0.2175631,7,16.0,0.3332674,23,71.0,0.4998456,6
256,21,6,67.0,0.2339668,15,96.0,0.1432253,8,76.0,0.4371803,20,89.0,0.4416699,5,31.0,0.2410302,11,44.0,0.09751709,28
266,11,6,90.0,0.1298721,6,120.0,0.1871159,7,98.0,0.1319958,23,82.0,0.1405475,7,87.0,0.1031392,27,62.0,0.02754368,11
268,17,6,112.0,0.4408776,11,10.0,0.2317785,2,62.0,0.4523042,7,8.0,0.3908084,28,103.0,0.2985526,29,102.0,0.3718465,14
270,26,6,33.0,0.4717421,17,118.0,0.4371814,27,103.0,0.3046859,28,61.0,0.1730945,21,27.0,0.3180809,12,108.0,0.181679,28
275,28,6,107.0,0.3486716,14,107.0,0.3430939,7,34.0,0.3174147,20,33.0,0.3932917,30,86.0,0.1640877,21,90.0,0.1671996,12
289,24,6,21.0,0.2150792,16,86.0,0.0308751,19,63.0,0.2913661,18,28.0,0.1912704,23,47.0,0.03049679,19,106.0,0.1329161,6
305,19,6,72.0,0.3967882,1,30.0,0.3623766,13,21.0,0.2257315,11,114.0,0.3483587,10,9.0,0.1802834,19,114.0,0.2451905,11
306,26,6,46.0,0.2720313,16,119.0,0.0514787,11,55.0,0.03712066,27,103.0,0.3370646,15,83.0,0.4996737,20,47.0,0.3611448,5
307,18,6,118.0,0.3248388,5,119.0,0.3897746,15,85.0,0.462061,29,73.0,0.3265223,19,103.0,0.2314284,27,110.0,0.2014767,9
310,23,6,32.0,0.1227861,7,108.0,0.1512956,18,43.0,0.2715782,18,110.0,0.4250815,7,46.0,0.34409,10,34.0,0.2962653,22
313,13,6,62.0,0.04532345,14,6.0,0.4429024,20,97.0,0.4894161,1,75.0,0.429983,10,81.0,0.2048738,25,113.0,0.4517871,22
331,19,6,120.0,0.2972708,21,24.0,0.04701234,11,36.0,0.07954688,12,47.0,0.15096,25,96.0,0.2955135,25,104.0,0.2733937,13
332,22,6,64.0,0.4406417,17,102.0,0.3053903,2,100.0,0.4438336,21,101.0,0.2984204,12,44.0,0.3793549,19,61.0,0.2997501,23
340,24,6,81.0,0.4169338,2,116.0,0.2859944,16,37.0,0.3642117,22,8.0,0.09711064,21,35.0,0.2459435,14,28.0,0.06289794,8
345,16,6,23.0,0.02515782,3,101.0,0.22934,16,13.0,0.09169199,3,90.0,0.3537177,5,84.0,0.08620502,5,71.0,0.2630617,22
348,29,6,36.0,0.07295986,12,22.0,0.2308335,28,119.0,0.4536294,6,57.0,0.4265444,19,100.0,0.4074118,12,34.0,0.4611434,18
358,32,6,77.0,0.2361869,23,35.0,0.2732777,28,70.0,0.4211424,28,93.0,0.4584603,7,100.0,0.141913,23,20.0,0.2166906,25
359,26,6,104.0,0.05398555,24,91.0,0.1190053,14,34.0,0.4698116,27,116.0,0.4560758,15,62.0,0.09243186,18,40.0,0.4897338,6
361,24,6,79.0,0.1517983,1,102.0,0.2573558,17,49.0,0.3095674,25,92.0,0.4407651,29,38.0,0.103815,17,30.0,0.01972939,16
362,21,6,118.0,0.3472019,14,46.0,0.2714167,15,8.0,0.5013396,24,24.0,0.1313171,7,53.0,0.3347827,26,7.0,0.3917012,30
363,26,6,69.0,0.3228517,19,60.0,0.2417232,24,36.0,0.335899,17,104.0,0.4385392,30,114.0,0.450318,13,110.0,0.2404252,19
378,24,6,54.0,0.1404872,4,102.0,0.456267,24,57.0,0.2646838,12,21.0,0.4932727,5,67.0,0.2778067,6,42.0,0.2866426,30
384,16,6,6.0,0.07551827,6,96.0,0.2044269,17,14.0,0.328454,12,106.0,0.3305101,21,119.0,0.3683994,22,76.0,0.06542976,7
419,16,6,72.0,0.4151651,24,101.0,0.2438891,25,74.0,0.4779119,3,11.0,0.09297945,5,78.0,0.3656531,12,113.0,0.1063733,18
420,23,6,108.0,0.3382923,27,33.0,0.2858739,27,116.0,0.2980308,12,103.0,0.3360419,27,81.0,0.4587235,1,35.0,0.1223265,17
431,23,6,30.0,0.4268671,7,110.0,0.3750417,1,86.0,0.2129021,29,42.0,0.07560916,27,67.0,0.4299326,29,69.0,0.3177733,28
436,10,6,115.0,0.2385837,23,82.0,0.1799036,19,8.0,0.2359166,6,47.0,0.05807568,17,49.0,0.1735195,10,60.0,0.3659654,24
440,27,6,50.0,0.3457884,11,90.0,0.3463551,15,37.0,0.2992716,5,76.0,0.4848523,26,107.0,0.04566188,16,30.0,0.309973,14
444,17,6,39.0,0.01967276,29,49.0,0.3780706,13,85.0,0.1258258,15,106.0,0.2761762,9,21.0,0.1404227,3,57.0,0.05098768,13
451,20,6,40.0,0.3462642,21,35.0,0.02127947,3,104.0,0.05302705,9,96.0,0.4783264,17,54.0,0.4720318,17,57.0,0.1319122,23
489,23,6,72.0,0.2111257,26,93.0,0.3536151,2,20.0,0.08975352,15,115.0,0.2428611,9,26.0,0.06819083,23,52.0,0.413016,8
499,31,6,75.0,0.4604881,9,104.0,0.3193787,15,117.0,0.1704809,26,20.0,0.4767329,29,44.0,0.1869845,22,89.0,0.4612265,26
501,14,6,39.0,0.2999589,7,19.0,0.3138745,2,58.0,0.4732034,14,80.0,0.3148036,21,113.0,0.4294739,8,68.0,0.1441684,18
504,23,6,113.0,0.1136301,28,32.0,0.3366813,21,44.0,0.1084238,9,42.0,0.4987819,25,43.0,0.2994821,12,14.0,0.1108414,7
507,4,6,77.0,0.3662303,7,52.0,0.05843891,12,33.0,0.3398617,5,7.0,0.2780996,3,61.0,0.1512159,22,90.0,0.2040002,29
518,15,6,56.0,0.4546681,12,59.0,0.3947136,6,27.0,0.3372876,8,5.0,0.0638857,19,41.0,0.3086347,18,59.0,0.4661083,14
520,5,6,20.0,0.4393885,8,92.0,0.198603,4,48.0,0.1390561,19,13.0,0.3695808,4,51.0,0.1912258,14,10.0,0.186047,21
530,34,6,111.0,0.2081329,18,115.0,0.3664146,30,18.0,0.3941576,5,38.0,0.4420699,30,53.0,0.4423943,18,62.0,0.3997825,23
532,13,6,119.0,0.01815863,18,60.0,0.08644201,16,65.0,0.5018369,2,93.0,0.02350677,16,42.0,0.1145625,9,105.0,0.119114,1
534,16,6,81.0,0.2147094,4,39.0,0.4145451,7,114.0,0.4073039,30,102.0,0.1984724,5,25.0,0.1035836,9,85.0,0.4164339,8
535,20,6,107.0,0.0360442,21,94.0,0.3527896,23,106.0,0.1116953,21,8.0,0.4402292,27,20.0,0.2940866,27,109.0,0.1416725,5
536,14,6,35.0,0.4817793,4,51.0,0.3444342,16,101.0,0.01638491,4,5.0,0.2983576,8,9.0,0.2832024,26,34.0,0.2331937,5
539,16,6,65.0,0.1474411,13,46.0,0.2696395,15,54.0,0.2339097,29,17.0,0.2294803,19,23.0,0.4058419,25,69.0,0.2412352,17
541,31,6,29.0,0.4641285,10,50.0,0.21133,16,28.0,0.3624007,29,6.0,0.01472414,5,46.0,0.2149976,21,111.0,0.4956211,15
544,24,6,70.0,0.08824529,18,109.0,0.2629787,27,113.0,0.09980471,18,35.0,0.06305952,27,26.0,0.4731447,6,80.0,0.06431617,1
545,24,6,40.0,0.0979035,26,88.0,0.484104,24,66.0,0.115838,29,45.0,0.3139504,15,95.0,0.2248615,8,108.0,0.3778325,13
547,12,6,6.0,0.3696426,4,108.0,0.195943,5,32.0,0.4469499,19,50.0,0.02721388,13,114.0,0.3220498,8,107.0,0.1624421,22
548,16,6,72.0,0.04729606,4,47.0,0.08518179,29,49.0,0.1815021,19,7.0,0.08031245,23,15.0,0.1446564,5,32.0,0.4167473,15
551,20,6,46.0,0.05955268,1,82.0,0.3263538,24,31.0,0.3293041,15,101.0,0.3160017,12,40.0,0.03326459,16,33.0,0.4159507,11
569,14,6,68.0,0.1412266,13,105.0,0.2107528,10,103.0,0.2918218,28,92.0,0.0396942,25,72.0,0.1161178,8,87.0,0.1916803,2
574,28,6,81.0,0.1613257,9,55.0,0.1452067,22,103.0,0.2787446,21,61.0,0.3564747,20,110.0,0.4268894,13,9.0,0.4706521,12
577,15,6,34.0,0.2214892,4,106.0,0.02058525,21,33.0,0.2905741,23,31.0,0.0715964,15,67.0,0.1393307,3,90.0,0.4720739,6
580,9,6,59.0,0.07931562,6,57.0,0.2786331,16,11.0,0.2618909,4,75.0,0.1254717,21,75.0,0.1643398,19,81.0,0.1420072,28
591,14,6,17.0,0.1472582,15,96.0,0.3954216,8,89.0,0.4105773,2,6.0,0.4082842,12,32.0,0.2743499,25,30.0,0.397004,17
598,16,6,78.0,0.3404498,14,63.0,0.4427777,14,53.0,0.0914268,8,119.0,0.5058881,25,88.0,0.1976802,14,93.0,0.115701,11
604,9,6,92.0,0.4938385,10,60.0,0.3228565,27,16.0,0.3278054,8,7.0,0.4209116,7,61.0,0.5069253,6,94.0,0.4924052,9
613,18,6,67.0,0.3871461,19,103.0,0.03168101,23,62.0,0.3390038,1,42.0,0.150248,28,116.0,0.3724684,7,88.0,0.5000212,28
627,18,6,109.0,0.1154112,18,25.0,0.1452292,4,32.0,0.1483696,1,32.0,0.4224083,30,69.0,0.3890012,16,27.0,0.4164582,14
628,14,6,8.0,0.4007024,27,118.0,0.3220852,10,23.0,0.1910164,25,47.0,0.4196731,19,67.0,0.1104505,8,61.0,0.4284016,2
635,22,6,45.0,0.3566296,23,112.0,0.2800939,22,12.0,0.3840775,20,81.0,0.2190237,10,53.0,0.03100331,30,33.0,0.5052114,13
636,19,6,86.0,0.2426745,19,7.0,0.4020547,5,7.0,0.4936395,26,71.0,0.1007282,7,20.0,0.03728105,28,65.0,0.3416344,6
637,19,6,104.0,0.1157328,16,77.0,0.1691599,18,114.0,0.4952493,9,72.0,0.2339266,28,12.0,0.3556751,15,15.0,0.09630103,27
640,20,6,103.0,0.1363284,14,114.0,0.2908017,26,54.0,0.07767911,14,61.0,0.3426616,19,100.0,0.3930354,7,69.0,0.508921,1
642,8,6,35.0,0.3375339,6,72.0,0.4876677,5,44.0,0.3134471,17,9.0,0.2433901,6,76.0,0.0763609,6,41.0,0.03689809,23
644,15,6,96.0,0.3155199,29,82.0,0.3927299,13,5.0,0.3187568,8,101.0,0.297376,16,27.0,0.3148622,14,53.0,0.2526158,19
647,32,6,112.0,0.1664869,28,46.0,0.289526,23,51.0,0.4279609,20,53.0,0.2274654,26,106.0,0.2613522,17,39.0,0.2229676,20
651,23,6,60.0,0.4356827,6,11.0,0.4971306,12,54.0,0.2784272,15,61.0,0.09624864,28,53.0,0.03245587,17,30.0,0.0554948,29
657,13,6,76.0,0.3826494,16,62.0,0.06855829,12,74.0,0.4720269,6,43.0,0.1122425,19,31.0,0.174529,22,59.0,0.2642662,11
665,31,6,111.0,0.4593729,30,98.0,0.2829468,30,53.0,0.2798827,9,79.0,0.03327883,22,52.0,0.3278147,21,33.0,0.293999,14
697,24,6,106.0,0.249101,28,59.0,0.4488822,20,62.0,0.4796238,19,107.0,0.04532506,16,71.0,0.3114578,9,37.0,0.09706189,15
698,22,6,47.0,0.4386311,16,97.0,0.507392,8,29.0,0.02197863,26,116.0,0.3632377,19,36.0,0.2720049,11,86.0,0.2224251,6
703,23,6,54.0,0.02346702,9,14.0,0.04191984,27,101.0,0.3552029,21,62.0,0.2242633,4,113.0,0.3227666,28,102.0,0.1851406,25
710,25,6,64.0,0.2853239,28,65.0,0.5003282,4,71.0,0.1289976,19,47.0,0.1382931,18,11.0,0.1474812,6,13.0,0.4776796,10
711,17,6,111.0,0.3713829,17,62.0,0.1092879,4,23.0,0.1675355,12,28.0,0.4043229,30,84.0,0.1048061,7,94.0,0.05006231,1
713,11,6,39.0,0.3485911,12,119.0,0.01340104,1,88.0,0.04413314,29,103.0,0.2300042,3,106.0,0.04162236,21,77.0,0.2767115,5
722,10,6,85.0,0.4391776,25,74.0,0.04071201,15,103.0,0.3248767,25,116.0,0.4447154,1,114.0,0.4248053,3,66.0,0.1148644,9
723,27,6,30.0,0.499129,19,85.0,0.3166535,12,12.0,0.03962828,20,68.0,0.07392146,26,100.0,0.01668526,22,102.0,0.1512032,27
725,20,6,99.0,0.3839381,22,67.0,0.08433534,12,88.0,0.2030344,25,99.0,0.09482785,26,117.0,0.2826805,4,11.0,0.07359172,16
727,24,6,72.0,0.3251451,18,69.0,0.06477036,2,43.0,0.3527615,15,96.0,0.1289744,29,102.0,0.1702225,8,12.0,0.4962254,7
728,4,6,113.0,0.2304727,3,119.0,0.1669409,16,72.0,0.2533099,3,15.0,0.1746313,12,52.0,0.271312,21,5.0,0.2433571,17
