Hits,eCount,FireRate1,ShotSpeed1,Health1,FireRate2,ShotSpeed2,Health2,FireRate3,ShotSpeed3,Health3,FireRate4,ShotSpeed4,Health4,FireRate5,ShotSpeed5,Health5,FireRate6,ShotSpeed6,Health6
11,4,51.0,0.01332099,28,101.0,0.4393287,2,97.0,0.4875523,23,23.0,0.09843959,15,0,0,0,0,0,0
15,4,114.0,0.01637567,2,111.0,0.3666828,27,22.0,0.1776306,25,109.0,0.2919009,30,0,0,0,0,0,0
13,4,18.0,0.2222718,26,86.0,0.437503,15,17.0,0.4117504,1,42.0,0.3480935,11,0,0,0,0,0,0
7,1,29.0,0.4700195,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,66.0,0.03396697,14,5.0,0.3202389,18,79.0,0.1123405,8,22.0,0.2900425,7,0,0,0,0,0,0
8,3,71.0,0.4160495,4,111.0,0.04914565,10,38.0,0.2225085,19,0,0,0,0,0,0,0,0,0
6,3,62.0,0.02855117,17,64.0,0.3900473,22,87.0,0.4412134,28,0,0,0,0,0,0,0,0,0
13,5,48.0,0.4641044,26,95.0,0.3011251,9,10.0,0.2526372,27,119.0,0.3004129,13,10.0,0.1697513,4,0,0,0
24,6,10.0,0.06661607,23,63.0,0.2992138,5,20.0,0.02363182,10,59.0,0.05022146,27,18.0,0.2971094,13,88.0,0.3486867,29
20,6,87.0,0.1080089,17,62.0,0.3281134,19,63.0,0.4633086,11,30.0,0.4871352,2,106.0,0.4508361,25,80.0,0.05441345,11
12,3,43.0,0.4422253,14,23.0,0.3437447,6,25.0,0.3191243,29,0,0,0,0,0,0,0,0,0
2,2,119.0,0.05316319,20,83.0,0.4381531,15,0,0,0,0,0,0,0,0,0,0,0,0
3,2,111.0,0.05885811,18,96.0,0.04070826,3,0,0,0,0,0,0,0,0,0,0,0,0
17,6,12.0,0.2107158,4,118.0,0.4756188,8,51.0,0.01421387,28,94.0,0.126876,19,72.0,0.4234606,24,68.0,0.3038839,22
12,3,39.0,0.3798178,26,34.0,0.065506,17,20.0,0.3430056,23,0,0,0,0,0,0,0,0,0
0,2,36.0,0.05519344,1,105.0,0.1468232,7,0,0,0,0,0,0,0,0,0,0,0,0
5,3,54.0,0.1645427,13,105.0,0.1602882,26,100.0,0.04179706,27,0,0,0,0,0,0,0,0,0
8,4,31.0,0.05726214,23,88.0,0.2005662,16,73.0,0.1022389,16,108.0,0.3130295,8,0,0,0,0,0,0
13,6,14.0,0.2227184,6,52.0,0.394914,21,24.0,0.04485835,23,96.0,0.4427298,12,114.0,0.2839727,12,103.0,0.09865345,19
7,2,43.0,0.4527093,30,72.0,0.354654,11,0,0,0,0,0,0,0,0,0,0,0,0
11,5,17.0,0.4087741,8,51.0,0.06283821,28,89.0,0.3563636,7,53.0,0.1716441,11,56.0,0.2503153,4,0,0,0
9,4,112.0,0.4076229,15,63.0,0.2674251,23,61.0,0.2236565,3,78.0,0.2018267,24,0,0,0,0,0,0
21,6,38.0,0.3470606,26,14.0,0.4023252,4,111.0,0.060201,23,55.0,0.1760595,10,84.0,0.2954644,17,36.0,0.32063,5
19,5,108.0,0.4590526,19,8.0,0.4684262,3,8.0,0.01158477,26,34.0,0.4258748,5,114.0,0.02764286,1,0,0,0
0,1,13.0,0.2569073,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,75.0,0.4892138,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,54.0,0.3062267,15,49.0,0.4055955,16,0,0,0,0,0,0,0,0,0,0,0,0
18,6,61.0,0.3532643,30,39.0,0.1804797,17,20.0,0.2926867,9,96.0,0.2983807,6,87.0,0.2885926,19,29.0,0.2552146,24
9,4,97.0,0.2728971,7,96.0,0.120017,13,48.0,0.1635171,11,47.0,0.3349428,7,0,0,0,0,0,0
23,5,100.0,0.2415563,25,102.0,0.1972747,19,81.0,0.464045,27,36.0,0.289344,24,84.0,0.1849441,2,0,0,0
0,1,43.0,0.02540798,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,82.0,0.1990989,27,75.0,0.1860593,20,80.0,0.4411684,15,13.0,0.1053632,16,0,0,0,0,0,0
13,4,30.0,0.2971387,14,14.0,0.2582791,6,33.0,0.04569055,24,51.0,0.2470112,25,0,0,0,0,0,0
8,5,15.0,0.221785,21,102.0,0.4533222,17,27.0,0.1245505,6,32.0,0.06040128,2,111.0,0.09271361,2,0,0,0
6,3,60.0,0.2840018,20,70.0,0.07973762,4,82.0,0.3884116,21,0,0,0,0,0,0,0,0,0
5,2,26.0,0.09989847,22,96.0,0.165286,25,0,0,0,0,0,0,0,0,0,0,0,0
1,3,90.0,0.4348654,5,101.0,0.2196404,5,114.0,0.02369721,17,0,0,0,0,0,0,0,0,0
23,5,77.0,0.488088,29,97.0,0.1351392,28,81.0,0.1402393,14,112.0,0.08133997,7,111.0,0.3618455,26,0,0,0
3,2,48.0,0.1251319,13,84.0,0.5095996,7,0,0,0,0,0,0,0,0,0,0,0,0
2,2,12.0,0.1899141,6,55.0,0.4426994,16,0,0,0,0,0,0,0,0,0,0,0,0
8,5,33.0,0.2367539,22,95.0,0.5007361,17,93.0,0.05672593,16,111.0,0.2333177,12,8.0,0.1701678,13,0,0,0
9,4,33.0,0.04443027,21,15.0,0.3197023,19,69.0,0.4921777,10,78.0,0.1424011,16,0,0,0,0,0,0
18,4,112.0,0.2813727,28,77.0,0.3575318,25,102.0,0.3150841,6,13.0,0.3139782,14,0,0,0,0,0,0
8,3,105.0,0.3270718,30,26.0,0.3018207,10,84.0,0.3309393,8,0,0,0,0,0,0,0,0,0
19,6,27.0,0.1919025,27,43.0,0.3137564,6,71.0,0.1142213,19,80.0,0.3380935,6,57.0,0.3833317,12,105.0,0.5032908,7
1,1,119.0,0.3809948,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6,118.0,0.05388273,28,76.0,0.03793068,17,45.0,0.09677531,28,112.0,0.4069237,18,104.0,0.2479364,22,73.0,0.4144333,18
12,4,46.0,0.418654,11,15.0,0.1110066,20,116.0,0.3177207,1,68.0,0.280466,9,0,0,0,0,0,0
20,6,36.0,0.3248363,19,6.0,0.09014328,25,17.0,0.2725121,12,86.0,0.2157219,12,97.0,0.2090512,4,44.0,0.2822329,25
1,1,74.0,0.3975568,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,26.0,0.4036517,13,79.0,0.06427528,19,72.0,0.1084386,15,95.0,0.3555709,24,55.0,0.279828,24,0,0,0
